CMDLINE /Users/jos/work/py/geek/.venv/bin/python3 julia1_lineprofiler4.py
MEM 0.292969 1772969529.2413
MEM 14.957031 1772969529.3445
MEM 20.964844 1772969529.4479
MEM 27.734375 1772969529.5526
MEM 33.203125 1772969529.6571
MEM 37.031250 1772969529.7628
MEM 41.730469 1772969529.8668
MEM 48.648438 1772969529.9673
MEM 52.832031 1772969530.0702
MEM 68.839844 1772969530.1755
MEM 94.285156 1772969530.2796
MEM 107.183594 1772969530.3814
MEM 123.230469 1772969530.4859
MEM 138.160156 1772969530.5867
MEM 145.257812 1772969530.6910
MEM 145.257812 1772969530.7959
MEM 145.257812 1772969530.8989
MEM 145.257812 1772969531.0029
MEM 145.257812 1772969531.1059
MEM 145.257812 1772969531.2089
MEM 145.257812 1772969531.3141
MEM 145.257812 1772969531.4172
MEM 145.257812 1772969531.5216
MEM 145.257812 1772969531.6246
MEM 148.464844 1772969531.7283
MEM 149.722656 1772969531.8328
MEM 150.105469 1772969531.9373
MEM 150.375000 1772969532.0394
MEM 150.570312 1772969532.1411
MEM 150.750000 1772969532.2443
MEM 150.937500 1772969532.3479
MEM 151.113281 1772969532.4484
MEM 151.281250 1772969532.5525
MEM 151.417969 1772969532.6566
MEM 151.558594 1772969532.7570
MEM 151.707031 1772969532.8621
MEM 151.832031 1772969532.9663
MEM 151.972656 1772969533.0701
MEM 152.093750 1772969533.1743
MEM 152.222656 1772969533.2770
MEM 152.339844 1772969533.3817
MEM 152.453125 1772969533.4866
MEM 152.562500 1772969533.5883
MEM 152.660156 1772969533.6889
MEM 152.765625 1772969533.7897
MEM 152.871094 1772969533.8922
MEM 152.953125 1772969533.9941
MEM 153.058594 1772969534.0987
MEM 153.164062 1772969534.2036
MEM 153.261719 1772969534.3070
MEM 153.367188 1772969534.4086
FUNC __main__.calculate_z_serial_purepython 137.6211 1772969530.6376 162.6523 1772969539.2631 1
FUNC __main__.calc_pure_python 53.0898 1772969530.0775 85.0977 1772969539.3222 0
FUNC .creat_output_list 137.6211 1772969530.6377 145.2539 1772969530.6423 2
FUNC .calculate_output 145.2578 1772969531.6458 162.6523 1772969539.2630 2
MEM 153.453125 1772969534.5098
MEM 153.562500 1772969534.6138
MEM 153.664062 1772969534.7190
MEM 153.769531 1772969534.8204
MEM 153.882812 1772969534.9256
MEM 153.968750 1772969535.0300
MEM 154.074219 1772969535.1310
MEM 154.191406 1772969535.2355
MEM 154.300781 1772969535.3370
MEM 154.398438 1772969535.4373
MEM 154.511719 1772969535.5385
MEM 154.613281 1772969535.6394
MEM 154.730469 1772969535.7438
MEM 154.847656 1772969535.8485
MEM 154.957031 1772969535.9514
MEM 155.046875 1772969536.0539
MEM 155.152344 1772969536.1579
MEM 155.250000 1772969536.2631
MEM 155.351562 1772969536.3639
MEM 155.449219 1772969536.4672
MEM 155.558594 1772969536.5701
MEM 155.664062 1772969536.6739
MEM 155.761719 1772969536.7782
MEM 155.867188 1772969536.8828
MEM 155.968750 1772969536.9873
MEM 156.066406 1772969537.0923
MEM 156.164062 1772969537.1967
MEM 156.269531 1772969537.3010
MEM 156.386719 1772969537.4038
MEM 156.472656 1772969537.5057
MEM 156.597656 1772969537.6091
MEM 156.718750 1772969537.7134
MEM 156.851562 1772969537.8182
MEM 156.992188 1772969537.9230
MEM 157.121094 1772969538.0252
MEM 157.246094 1772969538.1294
MEM 157.390625 1772969538.2321
MEM 157.546875 1772969538.3369
MEM 157.718750 1772969538.4416
MEM 157.890625 1772969538.5453
MEM 158.093750 1772969538.6501
MEM 158.285156 1772969538.7544
MEM 158.480469 1772969538.8583
MEM 158.757812 1772969538.9621
MEM 159.167969 1772969539.0647
MEM 159.980469 1772969539.1667
MEM 162.660156 1772969539.2712
MEM 84.156250 1772969539.3750
MEM 50.339844 1772969539.4770
