FUNC __main__.list_extend 53.0391 1773306098.0686 53.0703 1773306100.4984 0
CMDLINE /Users/jos/work/py/geek/.venv/bin/python3 list_extend_mem.py
MEM 0.281250 1773306097.3120
MEM 14.777344 1773306097.4170
MEM 20.906250 1773306097.5218
MEM 26.492188 1773306097.6252
MEM 33.167969 1773306097.7285
MEM 38.023438 1773306097.8321
MEM 45.144531 1773306097.9366
MEM 52.433594 1773306098.0381
MEM 53.042969 1773306098.1423
MEM 53.042969 1773306098.2465
MEM 53.042969 1773306098.3514
MEM 53.042969 1773306098.4557
MEM 53.042969 1773306098.5604
MEM 53.042969 1773306098.6654
MEM 53.042969 1773306098.7699
MEM 53.042969 1773306098.8733
MEM 53.042969 1773306098.9775
MEM 53.042969 1773306099.0812
MEM 53.042969 1773306099.1860
MEM 53.042969 1773306099.2905
MEM 53.042969 1773306099.3917
MEM 53.042969 1773306099.4955
MEM 53.066406 1773306099.6007
MEM 53.070312 1773306099.7057
MEM 53.070312 1773306099.8104
MEM 53.070312 1773306099.9148
MEM 53.070312 1773306100.0199
MEM 53.070312 1773306100.1242
MEM 53.070312 1773306100.2292
MEM 53.070312 1773306100.3307
MEM 53.070312 1773306100.4352
MEM 53.160156 1773306100.5389
MEM 51.015625 1773306100.6424
